ROP and JOP Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadgets Introduced,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadgets Introduced,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadgets Introduced,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadgets Introduced,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadgets Introduced,JOP Trampoline Gadget Introduction Rate
original,0, , ,0, , ,75, , ,0, , ,1
tree_from_bc,0,0,0.0%,0,0,0.0%,6,6,100.0%,0,0,0.0%,0,0,0.0%
COP Special Purpose Gadget Introduction Data
Package Variant,COP Dispatcher Gadgets,COP Dispatcher Gadgets Introduced,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadgets Introduced,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadgets Introduced,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadgets Introduced,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadgets Introduced,COP Intra-stack Pivot Gadget Introduction Rate
original,0, , ,0, , ,0, , ,0, , ,0
tree_from_bc,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%
