Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets
original,2693,567,2126,50
tree_from_bc,2664 (29; 1.1%),713 (-146; -25.7%),1951 (175; 8.2%),39 (11; 22.0%)
